QTY,INVOICENUMBER,ITEM_DESCRIPTION,MENUDESC
1,1278294,HALEWET EL JEBEN/PLT,TABLES
2,1278325,ADD SUGAR FREE SYRUP,TABLES
2,1278325,KNEFEH KASHTA/PLT,TABLES
1,1278341,ADD SUGAR FREE SYRUP,TABLES
3,1278341,KNEFEH KASHTA/PLT,TABLES
1,1278461,ADD SUGAR FREE SYRUP,DELIVERY
2,1278461,KAAK KNEFEH CHEESE,DELIVERY
1,1277640,ADD SUGAR FREE SYRUP,DELIVERY
2,1277640,ADD SUGAR FREE SYRUP,DELIVERY
1,1277640,KAAK KNEFEH KASHTA,DELIVERY
2,1277640,KAAK KNEFEH CHEESE,DELIVERY
1,1277640,MIXED BAKLAVA DOME,DELIVERY
1,1278668,ADD SUGAR FREE SYRUP,TAKE AWAY
1,1278668,KAAK KNEFEH KASHTA,TAKE AWAY
1,1278668,KAAK KNEFEH KASHTA,TAKE AWAY
1,1279022,ADD SUGAR FREE SYRUP,TAKE AWAY
1,1279022,KAAK KNEFEH KASHTA,TAKE AWAY
1,1279130,ADD SUGAR FREE SYRUP,TAKE AWAY
1,1279255,ADD SUGAR FREE SYRUP,TAKE AWAY
1,1279255,KAAK KNEFEH CHEESE,TAKE AWAY
